login_frequency,feature_usage_score,support_ticket_count,nps_score,contract_value,duration_months,total_interactions_30d,negative_sentiment_ratio,avg_interaction_duration,days_since_last_interaction,support_interaction_ratio,churned
28,36,4,6,49000,23,13,38.0,16.7,8,22.4,0
26,50,2,6,27000,19,10,27.2,25.2,20,20.0,1
6,17,12,2,18000,9,1,48.3,12.2,80,50.0,1
19,35,6,4,35000,19,12,44.8,29.8,16,33.8,1
27,34,1,7,43000,6,13,17.7,26.3,8,10.0,1
9,19,8,3,22000,5,3,59.6,6.3,60,50.0,1
3,16,11,2,21000,11,6,98.9,5.7,32,71.1,1
46,79,2,10,68000,23,15,4.7,33.0,7,0.0,0
7,27,9,2,15000,9,2,93.9,3.8,70,68.1,1
2,12,13,1,8000,8,0,0.0,0.0,90,0.0,1
26,35,6,4,32000,10,15,33.8,34.4,7,31.0,1
29,52,6,4,40000,11,15,17.7,14.9,7,20.0,1
16,39,3,4,24000,16,9,27.5,30.6,21,24.0,1
52,81,1,8,88000,20,21,14.4,65.9,3,17.5,0
39,79,2,10,68000,39,22,6.7,27.8,6,0.0,0
14,33,7,3,21000,2,0,0.0,0.0,90,0.0,1
36,65,1,10,69000,44,19,8.7,37.8,3,12.0,0
57,87,1,8,50000,43,28,9.6,54.2,1,9.7,0
4,17,11,2,8000,8,4,52.4,14.5,50,50.0,1
43,66,2,9,62000,20,27,12.6,69.6,0,18.1,0
6,20,7,3,8000,10,3,46.5,8.5,62,50.0,1
5,21,7,3,20000,7,3,47.9,4.0,59,50.0,1
17,40,2,5,33000,11,15,25.8,12.2,7,21.6,0
14,30,8,3,18000,4,2,50.1,9.6,70,50.0,1
21,45,4,4,57000,17,13,49.2,22.3,14,45.0,1
39,71,1,10,64000,44,31,0.9,34.7,0,4.7,0
16,35,2,6,46000,18,13,20.8,27.7,10,20.0,0
36,65,1,7,77000,20,27,12.9,33.3,1,7.3,0
39,77,1,8,41000,34,32,12.2,57.6,1,6.8,0
4,20,7,3,24000,10,2,97.8,12.8,68,71.2,1
3,12,14,1,15000,9,2,83.7,14.9,73,74.0,1
1,21,12,2,9000,4,2,96.2,9.7,67,76.0,1
45,74,1,8,86000,42,31,5.9,39.8,0,3.7,0
10,19,14,1,13000,2,5,53.6,13.5,41,50.0,1
14,25,8,2,15000,3,1,56.9,4.4,83,54.5,1
32,47,4,5,58000,14,9,69.7,12.8,20,53.8,1
51,85,1,7,65000,28,15,7.5,63.5,7,4.0,0
5,18,8,3,17000,4,1,92.3,6.5,79,83.8,1
49,64,5,5,36000,22,15,41.3,30.2,13,45.7,1
9,28,12,1,6000,2,4,80.4,8.5,53,64.3,1
13,19,8,2,10000,6,0,0.0,0.0,90,0.0,1
59,90,2,8,70000,31,26,7.6,58.1,0,8.1,0
17,35,6,4,20000,22,15,25.5,33.0,7,20.4,1
21,45,5,5,40000,26,17,53.9,18.0,6,47.1,1
12,25,15,1,8000,4,0,0.0,0.0,90,0.0,1
53,84,1,9,81000,42,17,11.6,42.7,3,17.3,0
34,53,4,5,28000,15,6,18.4,19.9,23,24.7,1
38,51,6,3,34000,24,12,57.7,24.0,15,54.2,0
22,45,5,3,50000,18,13,37.1,23.1,14,45.0,1
35,53,8,3,40000,12,11,61.8,11.5,16,49.4,1
12,25,13,1,18000,4,6,94.1,9.5,30,82.3,1
14,29,6,3,11000,4,0,0.0,0.0,90,0.0,1
58,83,2,8,82000,29,32,3.4,37.9,1,4.7,0
33,51,4,6,21000,23,13,26.4,19.0,8,24.1,0
18,35,2,5,27000,14,10,42.4,31.2,14,28.9,1
51,79,1,10,56000,30,17,3.7,25.9,6,6.0,0
27,36,5,7,16000,4,9,13.7,41.0,13,12.0,1
12,23,9,2,7000,5,6,91.5,3.4,31,75.2,1
55,79,0,10,71000,48,21,1.1,31.2,5,0.0,0
13,28,6,3,7000,11,6,48.8,8.3,30,50.0,1
29,54,4,6,39000,19,14,28.2,29.1,12,27.6,1
54,79,0,7,76000,37,26,14.7,46.1,2,16.8,0
51,75,1,7,69000,24,19,5.6,28.2,2,14.5,0
59,94,2,8,42000,30,30,2.9,31.5,2,0.0,0
22,45,4,4,48000,14,9,33.5,23.9,17,36.8,1
8,13,12,1,9000,4,0,0.0,0.0,90,0.0,1
1,10,9,3,7000,9,4,67.4,7.7,51,61.9,1
34,55,6,4,53000,17,17,60.8,15.0,8,47.6,1
28,38,4,7,22000,6,17,16.1,16.0,2,12.9,0
32,55,2,6,38000,17,7,44.6,17.0,22,39.7,0
41,65,0,10,50000,36,29,5.1,31.7,0,11.1,0
59,88,2,7,79000,40,20,7.8,33.5,7,0.0,0
37,77,1,8,52000,38,29,11.0,64.0,4,10.8,0
34,46,5,3,48000,25,10,66.2,14.1,16,55.0,1
29,54,6,3,43000,27,13,56.6,20.7,10,45.0,0
23,45,7,3,56000,17,11,39.1,21.7,12,45.0,1
26,46,6,5,45000,14,14,42.9,30.2,12,30.3,0
18,40,2,6,28000,10,10,17.9,28.9,20,20.0,1
2,17,10,1,18000,3,3,45.0,3.7,58,50.0,1
5,24,10,2,16000,4,3,77.6,3.1,60,65.1,1
2,15,10,2,12000,6,6,83.5,12.8,33,56.8,1
13,26,15,1,23000,9,6,55.8,5.6,32,50.0,1
13,21,14,1,11000,10,3,51.4,8.1,63,50.0,1
40,67,2,10,44000,35,24,5.3,55.6,6,0.0,0
9,15,7,3,17000,2,2,51.7,4.2,70,50.0,1
32,45,4,4,45000,19,9,42.4,13.4,16,45.0,1
41,69,2,10,47000,30,31,0.2,60.8,0,9.2,0
25,35,4,4,47000,22,13,29.9,27.3,11,26.9,0
39,51,5,5,33000,14,10,65.5,15.0,15,56.4,1
6,20,9,1,9000,8,3,45.1,14.5,60,50.0,1
21,35,4,4,28000,20,15,35.8,16.1,10,30.6,0
23,45,8,3,53000,26,17,51.0,22.0,5,45.0,0
45,82,2,7,58000,6,18,8.4,41.1,5,20.4,0
30,49,6,4,48000,15,8,37.4,33.7,21,21.9,1
45,77,2,10,65000,39,24,7.9,54.4,0,8.3,0
27,45,8,4,37000,19,11,40.5,23.9,14,45.0,0
27,43,2,5,26000,10,6,25.1,22.6,22,30.1,1
58,94,0,7,64000,36,20,14.0,67.2,6,10.2,0
7,23,7,3,13000,5,5,69.5,3.1,43,50.0,1
25,45,6,3,44000,18,16,54.6,15.0,8,45.0,1
25,47,5,4,29000,19,7,36.3,30.9,25,33.0,1
10,18,15,1,22000,8,4,86.0,12.6,53,69.8,1
4,19,14,2,15000,5,4,85.8,5.9,53,78.6,1
48,85,0,8,89000,27,29,12.9,46.7,0,16.3,0
38,70,1,7,75000,25,16,2.8,28.4,7,6.2,0
14,33,7,3,24000,7,0,0.0,0.0,90,0.0,1
36,59,6,4,37000,20,11,49.0,16.8,14,45.0,1
37,62,0,8,59000,4,24,8.7,39.9,11,31.6,0
31,48,7,3,46000,29,12,59.9,23.1,12,45.0,1
4,22,10,1,15000,4,0,0.0,0.0,90,0.0,1
38,74,2,9,81000,26,32,2.4,40.0,0,0.0,0
44,65,1,8,46000,35,18,2.1,37.0,7,4.7,0
25,45,7,3,30000,12,13,57.3,24.0,14,45.0,1
40,62,5,4,64000,23,17,34.4,29.4,15,46.1,0
49,70,1,10,41000,41,23,6.5,53.2,5,8.2,0
37,67,2,7,59000,25,18,2.9,43.5,6,5.3,0
53,80,2,10,42000,40,21,5.5,27.3,3,0.0,0
3,16,12,1,17000,11,5,47.4,10.6,41,50.0,1
35,45,4,7,44000,5,19,15.0,41.3,5,14.0,1
8,26,11,2,5000,6,1,69.2,9.1,81,64.4,1
37,65,2,9,89000,18,26,10.2,50.3,4,1.2,0
4,22,13,1,23000,11,0,0.0,0.0,90,0.0,1
7,16,10,3,20000,10,4,47.5,14.9,51,50.0,1
6,25,13,1,8000,3,0,0.0,0.0,90,0.0,1
13,22,10,3,10000,2,1,45.4,13.6,81,50.0,1
5,12,11,3,12000,6,4,90.0,10.7,52,80.0,1
57,84,1,8,40000,35,29,5.0,64.5,0,0.0,0
33,53,4,3,52000,24,12,41.0,23.5,17,45.0,1
22,35,3,4,27000,24,8,24.6,28.7,18,20.0,0
43,79,1,7,51000,24,20,14.9,66.8,5,20.0,0
21,35,5,4,41000,10,9,34.4,19.9,20,37.5,0
60,93,2,7,82000,43,31,3.8,31.4,1,3.0,0
40,80,1,10,86000,30,30,13.7,63.3,4,1.0,0
36,65,1,9,62000,41,19,3.1,51.5,2,8.5,0
39,76,2,4,40000,12,14,46.2,25.3,11,49.0,0
21,35,5,6,46000,24,15,22.0,34.4,10,23.6,0
1,19,14,2,10000,6,3,64.1,12.1,62,56.3,1
12,36,1,6,21000,1,4,34.5,44.4,17,21.6,1
19,35,3,4,27000,19,7,43.8,18.8,25,30.0,1
27,46,3,4,28000,9,8,21.4,28.9,23,20.0,1
8,20,5,3,15000,6,6,77.5,4.2,32,58.0,1
14,27,5,3,20000,8,3,76.8,9.2,59,70.4,1
19,35,5,4,23000,8,10,35.3,23.0,15,25.2,1
36,65,2,10,77000,29,32,4.9,41.7,0,0.0,0
29,54,4,6,19000,2,19,16.0,35.0,1,10.0,0
13,28,12,1,15000,7,1,46.1,13.1,83,50.0,1
58,88,2,8,45000,43,26,11.7,52.7,0,2.4,0
45,78,2,9,47000,43,18,0.1,60.4,4,6.1,0
32,39,4,4,41000,11,10,17.2,25.6,14,20.0,1
13,22,5,3,13000,4,3,90.2,8.8,57,78.2,1
14,38,2,7,33000,6,13,28.4,38.8,10,30.7,1
58,95,0,10,58000,34,20,2.4,31.7,7,0.0,0
2,9,12,2,10000,5,5,74.9,6.1,39,58.9,1
59,95,2,10,56000,41,18,7.3,44.6,6,6.8,0
44,84,1,8,89000,28,16,1.4,32.5,6,9.1,0
28,55,3,4,28000,15,13,26.1,29.1,12,37.2,1
43,71,8,6,69000,18,15,38.2,21.4,14,66.6,0
1,21,15,1,11000,7,4,65.5,3.7,49,50.0,1
18,35,2,6,20000,20,12,27.8,23.5,16,29.2,0
22,45,4,4,34000,21,10,68.9,24.4,17,59.1,0
7,21,7,2,6000,5,4,78.8,8.1,51,53.0,1
14,31,2,6,26000,1,14,23.6,24.4,8,24.9,0
3,18,7,3,25000,10,1,75.3,8.1,81,69.2,1
31,56,6,4,39000,21,18,39.2,19.2,5,45.0,0
41,65,2,8,54000,27,25,12.3,36.6,0,0.0,0
53,85,0,7,77000,25,23,8.2,32.2,6,15.6,0
58,82,2,7,44000,42,30,9.2,58.6,0,11.4,0
44,76,0,8,53000,29,19,14.8,56.8,4,4.8,0
34,53,4,7,28000,6,10,14.1,30.5,9,17.3,0
11,22,7,3,18000,7,4,81.6,8.2,48,59.3,1
33,56,3,6,41000,19,11,28.0,31.8,18,24.4,0
50,71,1,10,59000,33,18,9.6,49.6,5,10.7,0
6,16,5,3,17000,5,6,60.5,8.1,30,51.4,1
6,12,10,1,9000,12,0,0.0,0.0,90,0.0,1
2,19,11,2,16000,2,4,64.3,11.6,47,56.4,1
26,43,2,7,19000,2,8,18.5,42.8,12,23.8,1
28,71,10,4,78000,26,16,31.4,17.7,19,58.9,1
19,35,5,5,39000,16,13,43.3,28.6,14,26.6,1
57,85,0,10,61000,44,15,6.7,36.9,4,13.4,0
12,23,15,1,6000,9,0,0.0,0.0,90,0.0,1
14,24,5,3,6000,10,0,0.0,0.0,90,0.0,1
34,47,4,5,40000,21,9,34.0,14.8,17,32.2,1
21,43,5,5,47000,19,7,30.3,28.0,22,29.2,1
51,91,0,9,67000,42,19,12.3,26.7,2,6.8,0
49,78,0,9,89000,24,19,10.9,60.8,5,1.7,0
11,24,11,3,22000,3,5,93.4,4.8,39,82.7,1
32,47,3,6,49000,24,9,41.1,18.4,19,33.9,1
51,71,2,9,64000,26,17,2.3,55.9,6,0.0,0
28,50,4,4,26000,21,10,39.4,15.9,15,41.5,1
14,32,5,3,17000,12,5,69.2,7.5,37,62.4,1
14,24,10,2,10000,2,5,91.4,10.5,42,82.1,1
11,23,5,3,14000,9,6,46.1,3.7,33,50.0,1
3,13,10,3,8000,3,6,56.1,4.6,30,50.0,1
25,56,8,4,94000,13,13,35.7,23.7,22,63.2,1
21,45,8,4,53000,20,9,62.4,14.5,20,45.0,1
22,35,2,5,46000,24,10,36.7,24.4,16,24.4,1
27,35,3,4,42000,24,14,25.5,26.0,9,30.4,0
9,24,8,3,18000,11,1,70.5,11.5,80,61.4,1
37,51,7,4,54000,30,8,54.8,14.7,19,45.0,0
2,16,12,1,18000,5,6,92.1,5.3,31,64.7,1
16,38,5,4,25000,24,10,25.8,20.6,17,28.6,1
27,45,4,4,33000,19,17,47.3,24.3,8,45.0,0
27,37,4,4,20000,18,9,40.4,29.6,18,36.3,1
51,90,0,9,86000,33,16,6.1,67.4,7,8.9,0
3,17,14,1,16000,6,6,85.8,11.9,30,69.6,1
50,70,0,8,78000,23,15,5.5,64.6,7,8.4,0
2,16,13,1,24000,10,0,0.0,0.0,90,0.0,1
42,69,0,10,75000,28,16,13.4,60.0,7,10.7,0
48,80,0,7,52000,21,22,7.1,50.4,5,6.7,0
58,94,1,9,48000,34,15,3.7,66.1,7,0.0,0
24,45,4,5,46000,12,10,31.3,31.3,16,20.0,0
15,35,5,6,25000,9,8,27.2,19.5,24,23.8,1
44,49,4,6,31000,1,8,5.7,23.8,16,11.6,0
55,78,2,10,89000,40,15,6.7,49.6,4,15.4,0
37,47,8,4,55000,21,9,63.2,13.2,20,52.6,1
54,80,0,10,43000,32,25,2.2,62.1,6,10.8,0
38,53,4,7,29000,1,17,26.0,25.2,1,28.8,1
33,55,6,4,37000,21,10,36.8,15.9,14,39.4,1
5,24,6,3,16000,11,6,91.1,9.1,31,74.9,1
3,13,11,3,15000,2,1,96.2,11.3,78,78.0,1
30,51,3,5,45000,22,13,21.0,21.8,22,25.5,0
10,28,13,1,6000,7,6,91.0,5.0,33,71.8,1
11,18,15,1,14000,11,3,97.2,14.7,61,85.8,1
9,29,11,1,25000,4,4,64.2,8.9,52,56.4,1
57,91,1,8,86000,39,18,8.8,54.9,7,4.0,0
47,78,0,9,45000,26,29,12.0,35.5,4,17.6,0
41,72,1,9,51000,38,28,8.3,29.2,5,7.6,0
5,11,15,1,11000,5,1,59.0,5.1,80,50.2,1
53,87,1,9,43000,20,26,0.6,64.8,1,0.0,0
51,82,1,9,76000,32,20,9.0,46.3,4,8.2,0
42,71,2,10,45000,21,16,4.7,25.6,4,9.8,0
44,80,1,9,46000,33,21,14.4,69.8,7,15.5,0
12,19,8,3,11000,4,5,85.8,10.4,43,68.6,1
35,67,1,8,60000,41,29,5.7,48.9,2,4.6,0
54,89,0,10,74000,43,31,6.2,39.5,2,0.0,0
9,20,5,3,6000,7,4,64.8,8.4,52,50.0,1
11,17,14,2,5000,8,4,71.2,5.3,51,59.0,1
60,87,2,8,62000,31,30,11.3,49.3,4,7.0,0
37,61,8,3,31000,30,18,44.8,15.6,5,45.0,1
12,21,12,1,22000,4,5,83.8,14.6,39,73.0,1
41,78,0,9,80000,48,31,11.6,56.4,0,3.3,0
32,52,4,6,49000,11,15,32.8,27.7,10,35.2,0
10,18,12,1,19000,9,5,67.2,5.8,43,58.8,1
8,23,8,3,11000,11,3,75.3,14.0,59,67.2,1
27,35,5,5,32000,8,13,30.2,22.4,9,29.2,0
24,39,6,5,25000,13,10,21.1,21.2,18,20.0,1
43,64,3,4,48000,18,13,30.5,19.8,6,38.0,0
4,21,14,2,21000,5,4,91.0,5.1,49,81.8,1
23,35,4,4,42000,8,8,35.7,15.2,23,33.6,1
5,20,14,1,20000,11,2,86.5,9.2,70,74.2,1
4,22,10,3,16000,3,0,0.0,0.0,90,0.0,1
34,56,3,6,23000,13,12,23.7,29.6,16,24.0,0
28,53,6,3,37000,15,12,48.7,18.0,15,45.0,0
16,41,5,5,19000,6,5,11.7,38.8,20,10.0,1
23,40,2,5,34000,8,13,26.9,20.3,10,28.5,1
57,83,2,10,57000,32,24,12.8,47.7,4,2.2,0
12,17,14,1,17000,11,1,92.6,9.1,83,77.1,1
55,75,2,10,71000,30,26,9.1,51.1,3,9.3,0
10,28,6,3,22000,5,6,76.6,8.9,32,68.3,1
6,15,13,1,18000,11,5,86.0,8.9,42,78.8,1
37,65,2,7,60000,37,18,9.6,43.6,4,2.7,0
46,62,4,4,30000,26,14,41.2,34.1,10,31.2,1
1,19,8,3,10000,5,1,76.8,12.7,78,67.4,1
37,70,0,9,66000,34,15,4.5,35.4,7,0.0,0
5,15,5,3,5000,5,4,79.2,10.5,51,71.4,1
11,31,10,3,9000,2,5,61.8,7.3,39,52.4,1
11,22,13,1,12000,6,4,71.9,5.9,47,59.5,1
56,91,1,10,83000,19,21,3.9,64.0,7,0.0,0
29,43,5,6,33000,4,5,31.4,34.3,18,30.1,1
58,95,2,7,48000,42,31,3.7,55.1,0,9.0,0
43,77,0,8,66000,46,28,1.7,69.9,0,7.4,0
23,47,4,4,32000,16,6,44.0,25.7,25,38.2,1
53,84,0,7,83000,24,25,6.2,33.0,6,4.0,0
10,29,13,1,15000,12,2,69.4,7.8,69,65.5,1
41,72,1,9,50000,31,24,5.4,48.1,6,0.0,0
12,23,15,1,6000,2,2,58.0,12.6,69,50.0,1
32,56,2,6,35000,18,11,32.7,24.7,18,23.2,1
31,52,2,5,25000,8,11,44.0,13.2,14,28.2,1
40,54,4,5,33000,5,7,26.9,38.8,16,23.5,0
31,52,6,4,21000,19,12,29.7,28.6,10,20.0,1
40,74,2,10,52000,42,19,0.4,68.1,4,5.3,0
40,74,2,9,53000,34,29,13.9,51.9,2,20.0,0
22,35,6,5,39000,19,8,20.6,19.3,18,20.0,1
43,63,5,4,54000,13,11,32.5,21.4,18,50.2,1
28,40,3,5,41000,12,14,43.6,14.3,8,29.9,1
51,74,2,8,54000,45,16,6.9,30.8,7,3.5,0
2,8,8,3,20000,7,3,76.5,10.3,58,65.2,1
22,47,5,3,49000,25,10,35.8,17.6,20,45.0,1
12,30,8,3,23000,2,5,49.1,11.1,42,50.0,1
37,74,1,8,65000,33,22,8.5,49.8,5,0.8,0
58,80,0,9,84000,48,22,12.5,27.3,7,2.0,0
39,65,2,10,42000,26,27,15.0,25.3,3,3.0,0
55,86,1,9,71000,38,26,12.4,46.4,4,7.9,0
9,25,15,1,16000,8,5,91.6,9.8,41,80.3,1
49,82,1,9,57000,19,17,5.5,25.2,7,9.4,0
37,74,1,8,67000,34,17,3.8,32.2,6,8.0,0
3,16,15,1,22000,10,3,95.9,6.6,57,83.7,1
8,28,6,2,12000,10,2,78.0,9.7,72,64.4,1
1,10,8,3,7000,2,3,62.8,6.4,61,50.0,1
19,39,3,5,28000,12,8,30.0,15.7,20,21.0,1
22,51,5,4,43000,22,7,31.3,28.7,13,41.2,1
45,78,1,10,71000,22,15,7.2,60.9,7,11.8,0
44,83,0,8,43000,35,19,11.8,44.7,7,11.4,0
20,45,4,3,58000,18,10,68.6,17.0,18,47.9,1
19,38,5,6,49000,14,8,35.6,21.9,23,34.5,1
36,55,8,3,39000,17,8,57.2,10.4,20,49.8,0
40,65,2,9,85000,32,15,3.7,30.3,5,0.0,0
18,35,2,6,36000,14,14,32.8,27.5,8,24.2,0
23,43,4,6,32000,23,6,28.7,34.0,25,20.0,1
6,21,15,1,25000,8,1,53.1,14.5,77,50.0,1
50,86,1,10,70000,37,21,0.6,52.0,5,0.0,0
52,79,2,10,77000,30,30,2.0,39.4,1,0.0,0
25,42,4,4,42000,16,9,33.3,23.5,20,20.0,0
50,77,1,8,41000,43,24,7.6,44.7,0,7.1,0
60,95,1,9,61000,21,21,14.0,31.7,6,14.2,0
39,75,1,10,87000,26,32,1.0,31.2,0,8.8,0
32,44,5,5,44000,9,8,15.3,23.2,21,20.0,1
3,10,14,2,10000,2,4,76.6,12.4,48,66.3,1
35,56,4,5,49000,21,14,34.5,22.7,11,47.5,1
15,35,4,5,43000,17,11,35.3,31.1,17,21.2,1
20,38,6,4,42000,22,15,43.0,25.1,7,32.4,0
53,74,1,8,86000,24,23,2.0,41.4,4,0.0,0
40,65,1,10,69000,45,21,3.0,33.4,5,1.4,0
6,22,10,3,21000,2,3,47.9,7.7,61,50.0,1
41,80,1,9,56000,31,21,10.3,38.4,7,8.2,0
16,35,5,4,23000,16,9,29.5,22.7,22,20.0,0
56,86,1,8,65000,47,31,14.4,64.9,2,20.0,0
50,86,1,8,53000,41,32,0.5,58.0,0,0.0,0
1,18,9,1,22000,2,3,46.2,14.4,57,50.0,1
1,14,5,3,23000,8,4,59.9,11.5,49,50.0,1
1,6,12,1,20000,6,0,0.0,0.0,90,0.0,1
18,35,5,6,35000,13,9,35.7,28.6,16,33.6,1
16,35,4,6,25000,21,9,22.1,25.7,16,20.0,0
19,35,3,5,24000,24,12,26.5,32.2,14,28.2,1
43,69,0,9,59000,42,16,10.5,34.3,5,6.4,1
52,88,2,9,55000,40,29,13.4,51.7,0,14.7,0
29,51,6,4,94000,13,11,41.6,18.4,17,42.7,1
60,95,0,8,52000,46,25,9.1,69.3,5,0.3,0
5,20,15,1,14000,11,5,90.8,5.2,41,63.6,1
29,39,3,6,43000,19,11,33.6,17.6,15,27.9,1
8,27,10,1,24000,8,0,0.0,0.0,90,0.0,1
18,35,2,6,41000,9,7,36.7,15.9,25,34.4,0
24,35,2,5,44000,24,12,33.4,23.9,11,27.7,0
55,76,0,8,66000,32,22,0.5,56.1,3,10.4,0
7,20,5,3,14000,5,2,95.0,9.0,68,82.0,1
4,18,12,1,12000,9,2,69.0,8.3,67,50.0,1
28,49,4,6,37000,24,14,27.1,24.7,12,20.0,0
26,42,2,5,36000,24,11,43.5,13.5,16,35.8,1
29,54,2,5,38000,9,9,34.6,26.1,20,24.7,0
54,92,1,8,58000,39,30,9.8,52.4,1,4.8,0
21,45,5,3,37000,29,13,45.3,20.8,16,45.0,1
33,53,3,5,36000,15,9,26.4,34.6,21,20.1,1
14,36,4,7,40000,4,5,19.0,21.4,19,22.2,1
59,90,0,10,73000,37,15,11.9,34.5,7,5.5,1
9,15,9,2,14000,9,0,0.0,0.0,90,0.0,1
35,58,1,6,25000,2,17,10.8,22.0,5,10.0,1
13,20,6,2,21000,12,3,68.3,7.0,62,61.6,1
18,38,3,6,26000,23,8,27.9,34.7,19,29.3,1
15,35,4,4,38000,21,6,27.7,27.2,25,20.0,1
45,69,3,4,62000,14,11,46.3,31.4,9,40.9,0
49,79,1,9,62000,26,22,7.1,51.2,6,12.7,0
13,19,5,3,16000,5,4,94.1,14.0,47,74.3,1
20,45,5,5,47000,20,18,40.6,13.0,5,45.0,0
49,70,2,8,41000,20,22,1.9,58.8,6,8.5,0
36,65,0,8,54000,43,15,4.2,33.7,7,0.4,0
51,91,1,8,61000,22,22,0.5,49.1,5,0.0,0
23,47,8,3,42000,20,16,49.7,16.8,7,45.0,1
58,95,0,9,64000,31,23,15.0,30.2,5,13.0,0
30,39,3,6,43000,23,15,30.3,14.7,7,30.2,1
46,82,2,10,69000,23,17,8.3,47.5,7,0.0,0
28,45,4,4,33000,12,8,40.5,19.4,23,23.4,1
36,65,2,10,51000,36,25,10.4,63.1,1,9.3,0
20,30,3,7,18000,4,18,5.4,27.8,1,14.3,0
34,50,2,5,42000,10,7,29.4,28.6,23,20.0,1
27,70,7,7,100000,33,18,30.9,27.6,9,56.3,1
52,82,1,8,81000,35,29,11.4,69.9,2,17.1,0
5,14,15,1,22000,9,4,67.6,9.4,49,64.1,1
1,7,13,1,9000,5,4,51.2,5.6,47,50.0,1
40,73,0,7,85000,46,28,1.0,56.1,0,7.8,0
2,22,13,1,14000,11,5,78.9,12.3,43,67.1,1
54,79,0,9,42000,32,15,6.5,64.8,7,9.2,0
18,35,6,5,35000,21,9,21.9,28.7,19,20.0,1
26,51,6,4,41000,13,13,43.5,13.0,8,38.8,1
6,21,12,1,20000,10,0,0.0,0.0,90,0.0,1
34,46,7,3,50000,18,8,49.9,12.0,19,45.0,1
6,20,13,1,16000,12,6,66.6,14.6,30,54.3,1
3,11,9,1,20000,4,5,46.4,9.3,38,50.0,1
11,16,14,1,7000,2,1,74.1,3.9,79,64.3,1
38,54,6,3,37000,26,18,53.1,10.6,8,45.0,0
49,74,1,8,49000,21,24,6.1,61.4,0,6.9,0
14,23,6,3,19000,10,2,82.7,8.9,73,76.2,1
25,38,4,4,42000,16,12,42.0,16.3,16,40.6,1
1,17,8,2,18000,4,3,46.2,9.0,58,50.0,1
23,48,8,4,42000,30,12,59.8,19.2,12,57.8,1
11,29,6,3,9000,4,0,0.0,0.0,90,0.0,1
5,23,10,3,11000,10,1,63.2,11.6,83,50.0,1
54,84,2,9,54000,31,17,3.6,47.6,7,0.9,0
26,43,3,7,35000,4,9,5.3,16.7,16,10.0,1
6,23,9,1,7000,7,5,83.1,3.2,41,75.5,1
34,51,2,6,21000,16,11,16.1,21.8,17,22.9,0
30,52,2,6,27000,12,11,21.7,28.0,14,20.0,1
31,36,2,6,29000,15,7,34.3,32.1,23,20.0,1
13,22,7,3,15000,3,1,55.6,10.1,78,50.0,1
20,35,2,7,35000,5,19,21.3,44.1,1,10.0,1
49,86,0,9,42000,28,22,3.2,43.4,6,0.0,0
1,15,12,2,19000,10,6,88.8,9.0,30,78.0,1
1,13,7,3,15000,7,0,0.0,0.0,90,0.0,1
31,45,2,6,24000,13,7,23.6,26.9,22,20.0,1
38,65,2,9,41000,25,28,13.9,28.4,2,14.1,0
1,16,12,1,8000,2,2,94.3,12.2,69,73.4,1
35,55,5,5,40000,22,7,32.7,20.9,13,43.6,1
39,77,1,8,46000,37,27,14.2,44.2,3,1.4,0
25,44,5,5,32000,11,10,41.7,20.9,18,23.4,1
30,44,5,5,46000,14,6,23.1,24.9,22,20.0,1
20,39,5,5,38000,21,10,21.3,20.8,17,22.0,0
51,73,0,9,54000,42,29,8.1,52.3,0,13.5,0
15,35,6,4,27000,20,15,33.1,25.3,9,31.5,1
51,86,0,10,70000,25,27,2.3,38.7,2,2.8,0
25,45,2,5,30000,12,11,43.1,20.9,12,38.5,1
19,35,3,5,21000,22,15,17.4,19.7,7,21.9,1
38,77,2,10,51000,43,16,4.6,64.3,7,3.7,0
5,10,13,1,14000,5,5,46.4,3.1,42,50.0,1
15,35,6,4,26000,22,11,23.0,16.3,17,27.4,0
26,43,6,4,34000,14,9,16.1,17.8,21,20.0,1
32,49,3,5,33000,24,9,41.9,26.0,19,26.5,0
36,53,6,4,50000,30,18,57.2,23.4,7,55.8,0
39,78,2,7,84000,39,21,13.8,61.3,2,4.0,0
2,12,10,3,25000,6,5,61.0,7.9,40,50.0,0
22,47,2,6,39000,13,6,20.7,28.5,25,20.0,0
59,95,1,10,42000,20,19,0.5,59.7,6,0.4,0
20,39,3,4,33000,19,12,16.4,12.2,16,20.0,1
57,78,2,8,78000,28,28,6.3,36.6,0,11.0,0
30,54,4,4,53000,18,12,51.2,20.2,11,45.0,1
42,58,5,7,22000,6,9,21.2,42.4,10,27.0,0
52,87,1,9,53000,26,22,9.2,41.8,1,5.4,0
56,82,0,9,52000,46,23,10.2,35.3,4,0.0,0
40,67,0,7,74000,44,17,12.5,68.9,7,13.0,0
45,70,0,6,26000,6,17,11.2,43.7,12,10.9,0
43,71,10,4,87000,35,11,29.2,14.6,20,68.1,1
18,35,5,5,22000,19,11,17.1,18.4,15,20.0,0
11,29,14,1,5000,9,3,99.5,6.1,61,72.6,1
18,36,2,6,35000,8,10,43.9,26.0,20,33.1,1
8,16,15,1,10000,12,5,63.9,12.2,40,50.0,1
15,35,5,4,27000,18,13,44.3,21.0,13,37.4,1
43,73,1,10,80000,46,18,14.7,47.4,7,8.8,0
19,41,3,4,23000,19,14,29.8,21.0,8,20.0,1
1,16,9,1,9000,10,2,77.3,14.6,67,58.8,1
40,78,0,10,47000,18,29,10.8,66.2,1,3.6,0
